,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average,Last Asset,Max Drawdown
ATVI,36,33.85,11.815256883595668,-5.433670197211222,30.503370609156867,-10.309919896040176,2.174452341560909,0.3888888888888889,1.338548144473053,0.4081223592097796
ADBE,37,91.02,9.917058774535525,-6.006623664063743,20.78720918315056,-19.450318379167307,1.6510204949024894,0.5135135135135135,1.9101747542077656,0.3129376089312409
AMD,35,76.2,39.35154302365032,-8.547607491650567,62.871286778131676,-17.456895820840767,4.603807914915315,0.2571428571428571,1.7620002072559093,0.6868006226620553
ALXN,37,-31.51,17.4024969675088,-6.129580475720063,46.13001012483251,-9.239681053983606,2.839100822061475,0.24324324324324326,0.6849399575879053,0.6894510125050646
ALGN,41,508.65,22.876627905119022,-6.4459964138893815,46.89763503109137,-13.954732300195172,3.548966899178856,0.4146341463414634,6.086502362081501,0.4173128442610342
GOOGL,34,68.37,8.93370113028257,-5.254557946590216,16.697120438104097,-8.634242700924489,1.7001812942380472,0.5,1.6836854491687638,0.28013237786619827
GOOG,33,76.22,8.964905592734667,-5.334047793794047,16.69711241539136,-8.634254800410424,1.680694650536311,0.5151515151515151,1.7622009909966303,0.2801326294053723
AMZN,36,206.5,12.653548170917384,-6.184149957544788,33.88574302064726,-10.282701037117858,2.046125701638234,0.5277777777777778,3.06496031634112,0.4126642283666776
AEP,33,21.04,5.680537000191706,-5.090701884205966,17.282197856601055,-7.532618872851904,1.1158651850770753,0.5454545454545454,1.2103761724929198,0.25150825335429206
AMGN,31,51.76,8.006381739855355,-5.173407802037215,18.040565201522508,-7.2197449969865986,1.5476030589938328,0.5161290322580645,1.5175669323639784,0.32014447170879
ADI,34,16.54,8.720309750842153,-5.4280082013645785,20.96764560165041,-9.048859192348424,1.6065395311396,0.4411764705882353,1.1654395998051146,0.30203437297456737
ANSS,38,71.26,8.142034652105528,-5.397673775438419,16.736053673607444,-10.080862926711909,1.5084340015424886,0.5263157894736842,1.7126351343704904,0.3122209501168163
AAPL,35,629.98,13.902424391810989,-5.796150134344229,43.697921456735386,-9.247109719064017,2.3985618159602584,0.6285714285714286,7.299809672338361,0.26896559798245756
AMAT,33,375.46,14.107052186333442,-6.035900766686855,55.026153646217345,-8.385598455216304,2.3371908736791402,0.5757575757575758,4.754602184100999,0.257030165273864
ASML,41,184.25,14.041323514616403,-5.8842338053264145,54.8820706079355,-8.915033249300986,2.386261997595368,0.4634146341463415,2.842481135505764,0.380756402068787
TEAM,19,80.38,16.085871691137886,-7.13904158404593,24.307895515161526,-11.81660572060721,2.253225660862658,0.47368421052631576,1.8037926131973245,0.31393223813126536
ADSK,37,72.27,14.923022530917729,-6.646846935581297,24.54131921047398,-15.102852251912747,2.24512805478236,0.40540540540540543,1.7226642080982781,0.3290710463256148
