,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
AAL,16,-81.04,11.323156005447194,-15.116261640435932,24.169657644769728,-43.52535416722818,0.7490711840523985,0.25
AAPL,13,199.95,21.606660565435895,-3.0706360908683394,54.568113734667946,-8.498144325943525,7.036542242726584,0.5384615384615384
AMD,12,1009.86,54.99325001538664,-7.851953860194816,132.3529450435539,-16.20305914577973,7.00376632294961,0.5833333333333334
ALGN,8,300.51,42.43802911299782,-6.738627825592894,123.8532905797646,-9.777336953371096,6.297725621798075,0.625
ADBE,11,166.59,17.994380041192667,-3.3741399285927565,39.54131014630771,-5.86738424284553,5.3330272075282705,0.6363636363636364
ADI,17,-12.26,5.461628350432715,-5.851329785137546,19.904709313145208,-9.39394820499163,0.9333995093397953,0.47058823529411764
ADP,14,28.82,8.637941238110164,-2.8597338835481447,20.342029243608884,-8.33249354177208,3.0205402285169454,0.42857142857142855
ADSK,13,94.99,15.420670205697835,-7.957949282797863,44.6425513208317,-17.234056978992818,1.937769349577486,0.6153846153846154
ALXN,13,-49.83,8.718733965028884,-8.724246838472705,12.867526920584105,-21.65196524520091,0.9993680974935841,0.23076923076923078
AMAT,12,43.38,17.473652563643977,-9.055846619062594,33.642776712356806,-20.083459620827405,1.9295437852118507,0.5
AMGN,17,-26.14,5.356488220335632,-5.377975523960997,8.929938228106016,-8.922866818581277,0.9960045739275624,0.35294117647058826
AMZN,10,189.94,23.629184847514995,-3.969766857276547,42.177594141149186,-5.754123418050428,5.952285284513097,0.6
ASML,13,131.11,12.09596736011363,-3.6706856036935633,30.21372474709054,-5.285025647542685,3.2952883101571744,0.6923076923076923
ATVI,10,73.05,22.082927930263264,-7.406543525989013,58.41846771670232,-13.550164507901474,2.9815429900298165,0.5
BIDU,16,-17.52,9.771600221166649,-7.006074072138479,20.901641499471644,-14.414171568630852,1.394732644923927,0.375
BIIB,17,-46.24,7.745610261864815,-9.045707278383754,20.36212117883103,-18.98943828610038,0.8562746973223708,0.35294117647058826
BMRN,18,-20.37,8.275378173787088,-5.47890237016318,21.020933750682126,-11.713280140423542,1.5104080369916537,0.3333333333333333
BKNG,15,12.88,11.648097209213631,-5.6271084896861066,19.76358807536529,-10.255604980089739,2.069996914145757,0.4
AVGO,15,18.37,8.448399481629426,-6.165910438825939,25.168166787598388,-17.50747424579061,1.3701787538837653,0.5333333333333333
CDNS,11,153.19,20.570312670773724,-7.6820840577241505,42.23835332568549,-17.639343595244195,2.677699503963481,0.6363636363636364
CERN,10,53.3,13.438119205602515,-3.4113068045861406,29.197621064035516,-6.679289554795254,3.939287778963882,0.5
CHKP,15,23.56,12.569227190798712,-4.987792451538975,36.01943709745748,-11.51611341802109,2.5199980377933526,0.4
