日付,銘柄名,symbol,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20201230,極洋,1301,水産・農林業,0.01%,TOPIX Small 2,
20201230,日水,1332,水産・農林業,0.02%,TOPIX Mid400,
20201230,マルハニチロ,1333,水産・農林業,0.02%,TOPIX Mid400,
20201230,ホウスイ,1352,卸売業,0.00%,TOPIX Small 2,
20201230,雪国まいたけ,1375,水産・農林業,0.01%,TOPIX Small 2,○
20201230,カネコ種苗,1376,水産・農林業,0.00%,TOPIX Small 2,○
20201230,サカタのタネ,1377,水産・農林業,0.02%,TOPIX Small 1,
20201230,ホクト,1379,水産・農林業,0.01%,TOPIX Small 1,
20201230,ホクリヨウ,1384,水産・農林業,0.00%,TOPIX Small 2,
20201230,ヒノキヤグループ,1413,建設業,0.00%,TOPIX Small 2,
20201230,ショーボンド,1414,建設業,0.04%,TOPIX Mid400,
20201230,ミライトＨＤ,1417,建設業,0.03%,TOPIX Small 1,
20201230,タマホーム,1419,建設業,0.00%,TOPIX Small 2,
20201230,サンヨーＨ,1420,建設業,0.00%,TOPIX Small 2,
20201230,日本アクア,1429,建設業,0.00%,TOPIX Small 2,
20201230,ファーストコーポ,1430,建設業,0.00%,TOPIX Small 2,
20201230,ベステラ,1433,建設業,0.00%,TOPIX Small 2,
20201230,ＴＡＴＥＲＵ,1435,建設業,0.00%,TOPIX Small 2,
20201230,キャンディル,1446,建設業,0.00%,TOPIX Small 2,
20201230,スペースバリューＨＤ,1448,建設業,0.00%,TOPIX Small 2,
20201230,住石ＨＤ,1514,鉱業,0.00%,TOPIX Small 2,
20201230,日鉄鉱,1515,鉱業,0.01%,TOPIX Small 2,
20201230,三井松島ＨＤ,1518,鉱業,0.00%,TOPIX Small 2,
20201230,国際帝石,1605,鉱業,0.11%,TOPIX Mid400,
20201230,石油資源,1662,鉱業,0.01%,TOPIX Small 1,
20201230,Ｋ＆Ｏエナジー,1663,鉱業,0.00%,TOPIX Small 2,
20201230,ダイセキＳ,1712,建設業,0.00%,TOPIX Small 2,
20201230,第一カッター,1716,建設業,0.00%,TOPIX Small 2,
20201230,明豊ファシリティ,1717,サービス業,0.00%,TOPIX Small 2,
20201230,安藤ハザマ,1719,建設業,0.02%,TOPIX Small 1,
20201230,東急建設,1720,建設業,0.01%,TOPIX Small 1,
20201230,コムシスＨＤ,1721,建設業,0.06%,TOPIX Mid400,
20201230,Ｂｒ．ＨＤ,1726,建設業,0.00%,TOPIX Small 2,
20201230,高松Ｇ,1762,建設業,0.01%,TOPIX Small 2,
20201230,東建コーポ,1766,建設業,0.01%,TOPIX Small 1,
20201230,ソネック,1768,建設業,0.00%,TOPIX Small 2,○
20201230,ヤマウラ,1780,建設業,0.00%,TOPIX Small 2,
20201230,大成建,1801,建設業,0.15%,TOPIX Mid400,
20201230,大林組,1802,建設業,0.11%,TOPIX Mid400,
20201230,清水建,1803,建設業,0.10%,TOPIX Mid400,
20201230,飛島建,1805,建設業,0.00%,TOPIX Small 2,
20201230,長谷工,1808,建設業,0.06%,TOPIX Mid400,
20201230,松井建,1810,建設業,0.00%,TOPIX Small 2,
20201230,銭高組,1811,建設業,0.00%,TOPIX Small 2,
20201230,鹿島,1812,建設業,0.14%,TOPIX Mid400,
20201230,不動テトラ,1813,建設業,0.01%,TOPIX Small 1,
20201230,大末建,1814,建設業,0.00%,TOPIX Small 2,
20201230,鉄建建設,1815,建設業,0.01%,TOPIX Small 1,
20201230,西松建,1820,建設業,0.02%,TOPIX Mid400,
20201230,三住建設,1821,建設業,0.01%,TOPIX Small 1,
20201230,大豊建,1822,建設業,0.01%,TOPIX Small 1,
20201230,前田建,1824,建設業,0.03%,TOPIX Mid400,
20201230,佐田建,1826,建設業,0.00%,TOPIX Small 2,
20201230,ナカノフドー,1827,建設業,0.00%,TOPIX Small 2,
20201230,奥村組,1833,建設業,0.02%,TOPIX Small 1,
20201230,東鉄工,1835,建設業,0.01%,TOPIX Small 1,
20201230,イチケン,1847,建設業,0.00%,TOPIX Small 2,
20201230,富士ピー・エス,1848,建設業,0.00%,TOPIX Small 2,
20201230,浅沼組,1852,建設業,0.01%,TOPIX Small 1,
20201230,戸田建,1860,建設業,0.04%,TOPIX Mid400,
20201230,熊谷組,1861,建設業,0.02%,TOPIX Small 1,
20201230,北野建,1866,建設業,0.00%,TOPIX Small 2,
20201230,植木組,1867,建設業,0.00%,TOPIX Small 2,
20201230,矢作建,1870,建設業,0.00%,TOPIX Small 2,
20201230,ＰＳ三菱,1871,建設業,0.00%,TOPIX Small 2,
20201230,日本ハウスＨＤ,1873,建設業,0.00%,TOPIX Small 2,
20201230,大東建,1878,建設業,0.13%,TOPIX Mid400,
20201230,新日本建,1879,建設業,0.00%,TOPIX Small 2,
20201230,ＮＩＰＰＯ,1881,建設業,0.03%,TOPIX Small 1,
20201230,東亜道,1882,建設業,0.00%,TOPIX Small 2,
20201230,前田道,1883,建設業,0.02%,TOPIX Mid400,
20201230,日道路,1884,建設業,0.01%,TOPIX Small 2,
20201230,東亜建,1885,建設業,0.01%,TOPIX Small 1,
20201230,日本国土開発,1887,建設業,0.01%,TOPIX Small 1,
20201230,若築建,1888,建設業,0.00%,TOPIX Small 2,
20201230,東洋建,1890,建設業,0.01%,TOPIX Small 1,
20201230,五洋建,1893,建設業,0.04%,TOPIX Mid400,
20201230,世紀東急,1898,建設業,0.01%,TOPIX Small 2,
20201230,福田組,1899,建設業,0.01%,TOPIX Small 2,
20201230,日本ドライケミカル,1909,機械,0.00%,TOPIX Small 2,
20201230,住友林,1911,建設業,0.07%,TOPIX Mid400,
20201230,日基礎,1914,建設業,0.00%,TOPIX Small 2,
20201230,巴,1921,建設業,0.00%,TOPIX Small 2,
20201230,大和ハウス,1925,建設業,0.38%,TOPIX Large70,
20201230,ライト工,1926,建設業,0.01%,TOPIX Small 1,
20201230,積水ハウス,1928,建設業,0.29%,TOPIX Large70,
20201230,日特建,1929,建設業,0.00%,TOPIX Small 2,
20201230,北陸電工,1930,建設業,0.00%,TOPIX Small 2,
20201230,ユアテック,1934,建設業,0.01%,TOPIX Small 2,
20201230,日リーテック,1938,建設業,0.01%,TOPIX Small 2,○
20201230,四電工,1939,建設業,0.00%,TOPIX Small 2,○
20201230,中電工,1941,建設業,0.01%,TOPIX Small 1,
20201230,関電工,1942,建設業,0.02%,TOPIX Small 1,
20201230,きんでん,1944,建設業,0.05%,TOPIX Mid400,
20201230,東京エネシス,1945,建設業,0.00%,TOPIX Small 2,
20201230,トーエネック,1946,建設業,0.01%,TOPIX Small 2,○
20201230,住友電設,1949,建設業,0.01%,TOPIX Small 2,
20201230,日本電設,1950,建設業,0.01%,TOPIX Small 1,
20201230,協エクシオ,1951,建設業,0.06%,TOPIX Mid400,
20201230,新日空調,1952,建設業,0.01%,TOPIX Small 2,
20201230,日工営,1954,サービス業,0.01%,TOPIX Small 1,
20201230,九電工,1959,建設業,0.03%,TOPIX Mid400,
20201230,三機工,1961,建設業,0.01%,TOPIX Small 1,
20201230,日揮ＨＤ,1963,建設業,0.04%,TOPIX Mid400,
20201230,中外炉,1964,建設業,0.00%,TOPIX Small 2,
20201230,ヤマト,1967,建設業,0.00%,TOPIX Small 2,
20201230,太平電,1968,建設業,0.01%,TOPIX Small 1,
20201230,高砂熱,1969,建設業,0.02%,TOPIX Small 1,
20201230,三晃金,1972,建設業,0.00%,TOPIX Small 2,
20201230,ＮＥＳＩＣ,1973,情報・通信業,0.02%,TOPIX Small 1,
20201230,朝日工,1975,建設業,0.00%,TOPIX Small 2,
20201230,明星工業,1976,建設業,0.01%,TOPIX Small 2,
20201230,大気社,1979,建設業,0.02%,TOPIX Small 1,
20201230,ダイダン,1980,建設業,0.01%,TOPIX Small 2,○
20201230,日比谷設,1982,建設業,0.01%,TOPIX Small 2,
20201230,日粉,2001,食料品,0.02%,TOPIX Small 1,
20201230,日清粉Ｇ,2002,食料品,0.07%,TOPIX Mid400,
20201230,日東富士,2003,食料品,0.00%,TOPIX Small 2,
20201230,昭和産,2004,食料品,0.01%,TOPIX Small 2,○
20201230,鳥越粉,2009,食料品,0.00%,TOPIX Small 2,
20201230,中部飼料,2053,食料品,0.01%,TOPIX Small 2,
20201230,フィード・ワン,2060,食料品,0.00%,TOPIX Small 2,
20201230,洋糖,2107,食料品,0.00%,TOPIX Small 2,
20201230,甜菜糖,2108,食料品,0.00%,TOPIX Small 2,
20201230,三井製糖,2109,食料品,0.01%,TOPIX Small 1,
20201230,塩水糖,2112,食料品,0.00%,TOPIX Small 2,
20201230,日新製糖,2117,食料品,0.00%,TOPIX Small 2,○
20201230,ＬＩＦＵＬＬ,2120,サービス業,0.00%,TOPIX Small 1,
20201230,ミクシィ,2121,サービス業,0.02%,TOPIX Small 1,○
20201230,ＪＡＣ,2124,サービス業,0.00%,TOPIX Small 2,
20201230,日本Ｍ＆Ａ,2127,サービス業,0.20%,TOPIX Mid400,
20201230,メンバーズ,2130,サービス業,0.00%,TOPIX Small 2,
20201230,中広,2139,サービス業,0.00%,TOPIX Small 2,
20201230,ＵＴグループ,2146,サービス業,0.02%,TOPIX Small 1,
20201230,ＩＴＭ,2148,サービス業,0.00%,TOPIX Small 2,
20201230,タケエイ,2151,サービス業,0.01%,TOPIX Small 2,
20201230,イージェイＨＤ,2153,サービス業,0.00%,TOPIX Small 2,○
20201230,ビーネックスグループ,2154,サービス業,0.01%,TOPIX Small 1,
20201230,コシダカＨＤ,2157,サービス業,0.00%,TOPIX Small 1,
20201230,アルトナー,2163,サービス業,0.00%,TOPIX Small 2,
20201230,パソナグループ,2168,サービス業,0.01%,TOPIX Small 1,
20201230,ＣＤＳ,2169,サービス業,0.00%,TOPIX Small 2,
20201230,ＬＩＮＫ＆Ｍ,2170,サービス業,0.00%,TOPIX Small 2,
20201230,ＧＣＡ,2174,サービス業,0.00%,TOPIX Small 2,
20201230,ＳＭＳ,2175,サービス業,0.05%,TOPIX Mid400,
20201230,サニーサイドアップ,2180,サービス業,0.00%,TOPIX Small 2,
20201230,パーソルＨＤ,2181,サービス業,0.07%,TOPIX Mid400,
20201230,リニカル,2183,サービス業,0.00%,TOPIX Small 2,
20201230,ＣＯＯＫＰＡＤ,2193,サービス業,0.00%,TOPIX Small 1,
20201230,エスクリ,2196,サービス業,0.00%,TOPIX Small 2,
20201230,アイ・ケイ・ケイ,2198,サービス業,0.00%,TOPIX Small 2,
20201230,森永菓,2201,食料品,0.04%,TOPIX Mid400,
20201230,中村屋,2204,食料品,0.00%,TOPIX Small 2,
20201230,グリコ,2206,食料品,0.05%,TOPIX Mid400,
20201230,名糖産,2207,食料品,0.00%,TOPIX Small 2,○
20201230,井村屋Ｇ,2209,食料品,0.01%,TOPIX Small 2,
20201230,不二家,2211,食料品,0.01%,TOPIX Small 2,
20201230,山崎パン,2212,食料品,0.05%,TOPIX Mid400,
20201230,第一パン,2215,食料品,0.00%,TOPIX Small 2,
20201230,モロゾフ,2217,食料品,0.00%,TOPIX Small 2,
20201230,亀田菓,2220,食料品,0.01%,TOPIX Small 1,○
20201230,寿スピリッツ,2222,食料品,0.02%,TOPIX Small 1,
20201230,カルビー,2229,食料品,0.06%,TOPIX Mid400,
20201230,森永乳,2264,食料品,0.04%,TOPIX Mid400,
20201230,六甲バター,2266,食料品,0.00%,TOPIX Small 2,
20201230,ヤクルト,2267,食料品,0.14%,TOPIX Mid400,
20201230,明治ＨＤ,2269,食料品,0.19%,TOPIX Mid400,
20201230,雪印メグ,2270,食料品,0.02%,TOPIX Mid400,
20201230,プリマハム,2281,食料品,0.02%,TOPIX Small 1,
