,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
ATVI,6,15.98,4.3,-6.0,0.8333333333333334,2.579992704282793,44.75
ADBE,4,14.49,11.68,-4.06,0.5,3.8118014595787004,88.5
AMD,6,11.4,16.94,-4.67,0.3333333333333333,2.5347731874674406,28.0
ALXN,4,-17.27,0.0,-4.6,0.0,-4.597562635128779,37.5
ALGN,7,30.29,33.37,-5.13,0.2857142857142857,5.8727212968974225,42.4
GOOGL,4,12.72,7.09,-8.14,0.75,3.2799859102436795,89.0
GOOG,4,11.49,6.64,-7.97,0.75,2.990373695728319,89.0
AMZN,5,20.42,18.67,-4.53,0.4,4.748210744179673,139.5
AEP,4,-1.3,5.0,-2.0,0.25,-0.2500000000000002,67.0
AMGN,5,-12.79,5.0,-4.5,0.2,-2.6000000000000023,39.2
ADI,6,-8.66,16.99,-4.8,0.16666666666666666,-1.1686577201875012,30.5
ANSYS,0,0.0,0.0,0.0,0.0,0.0,30.5
ANSS,7,-1.69,8.81,-3.6,0.2857142857142857,-0.05363327808214047,23.8
AAPL,6,24.82,26.17,-5.85,0.3333333333333333,4.82526275571891,40.333333333333336
AMAT,5,49.92,20.28,-5.59,0.6,9.93330978964952,96.33333333333333
ASML,7,26.84,17.02,-5.15,0.42857142857142855,4.352183130526399,61.0
TEAM,9,-2.8,5.7,-3.14,0.3333333333333333,-0.19616159890592888,21.833333333333332
ADSK,7,-10.15,7.5,-4.87,0.2857142857142857,-1.3347286182730853,33.666666666666664
ADP,2,10.25,5.0,0.0,1.0,5.000000000000004,170.5
BIDU,5,53.43,31.97,-2.66,0.4,11.189284522924867,47.0
BIIB,6,-31.0,0.0,-5.94,0.0,-5.93645643999766,25.4
BKNG,6,-25.75,0.0,-4.78,0.0,-4.778691052712859,32.333333333333336
AVGO,3,41.54,50.58,-3.0,0.3333333333333333,14.858812200672014,101.33333333333333
CDNS,4,64.75,35.96,-3.0,0.5,16.47876288490804,99.25
CDW,5,1.46,7.5,-4.18,0.4,0.49059413043235445,57.5
CDW,5,1.46,7.5,-4.18,0.4,0.49059413043235445,57.5
CERN,4,10.28,5.47,-6.0,0.75,2.602334072397355,67.33333333333333
CHTR,5,3.04,5.53,-6.3,0.6,0.7989146933396429,107.5
CHKP,3,-1.8,5.0,-3.25,0.3333333333333333,-0.5032210775779389,67.66666666666667
CTAS,4,0.61,7.19,-6.4,0.5,0.39319133151581553,32.0
CSCO,5,-20.67,2.41,-6.18,0.2,-4.464634426476616,33.5
CTSH,2,32.94,32.94,0.0,0.5,16.471265536010872,110.5
CMCSA,4,-1.75,4.59,-2.02,0.25,-0.3680672160925158,119.5
CPRT,2,45.05,20.44,0.0,1.0,20.441050343402836,187.0
COST,1,47.25,47.25,0.0,1.0,47.24720828731539,627.0
CSX,3,9.51,16.58,-3.03,0.3333333333333333,3.503647109770158,101.5
DXCM,7,-5.13,7.03,-6.19,0.42857142857142855,-0.5219195585523249,26.8
DOCU,7,-11.17,10.0,-3.45,0.14285714285714285,-1.5275050375309664,26.0
DLTR,6,-33.84,0.0,-6.55,0.0,-6.545842742493005,25.75
EBAY,6,-1.08,20.94,-3.9,0.16666666666666666,0.23900230621498553,55.8
EA,3,16.99,5.43,0.0,1.0,5.426403000823872,89.0
EXC,3,-7.71,4.45,-6.0,0.3333333333333333,-2.5178304269022282,54.0
FB,5,0.11,6.69,-4.11,0.4,0.20594687642977938,38.666666666666664
FAST,3,13.9,21.17,-3.0,0.3333333333333333,5.058152029010824,142.66666666666666
FISV,3,2.39,8.92,-3.0,0.3333333333333333,0.9737885219649498,38.0
FOXA,5,-17.27,0.0,-3.67,0.0,-3.674601134112776,17.0
FOX,5,-22.54,0.0,-4.95,0.0,-4.947742526115403,23.75
GILD,6,-20.43,5.0,-5.39,0.16666666666666666,-3.656205265560075,25.666666666666668
IDXX,4,62.65,38.67,-6.0,0.5,16.33545139381509,120.5
ILMN,5,6.37,12.94,-5.64,0.4,1.794950037962614,45.0
INCY,5,-12.79,5.0,-4.5,0.2,-2.6000000000000005,25.8
