,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
ATVI,6.0,15.98,4.3,-6.0,0.8333333333333334,2.579992704282793,44.75
ADBE,4.0,14.49,11.68,-4.06,0.5,3.8118014595787004,88.5
AMD,6.0,11.4,16.94,-4.67,0.3333333333333333,2.5347731874674406,28.0
ALXN,4.0,-17.27,0.0,-4.6,0.0,-4.597562635128779,37.5
ALGN,7.0,30.29,33.37,-5.13,0.2857142857142857,5.8727212968974225,42.4
GOOGL,4.0,12.72,7.09,-8.14,0.75,3.2799859102436795,89.0
GOOG,4.0,11.49,6.64,-7.97,0.75,2.990373695728319,89.0
AMZN,5.0,20.42,18.67,-4.53,0.4,4.748210744179673,139.5
AEP,4.0,-1.3,5.0,-2.0,0.25,-0.2500000000000002,67.0
AMGN,5.0,-12.79,5.0,-4.5,0.2,-2.6000000000000023,39.2
ADI,6.0,-8.66,16.99,-4.8,0.16666666666666666,-1.1686577201875012,30.5
ANSYS,,,,,,,
ANSS,7.0,-1.69,8.81,-3.6,0.2857142857142857,-0.05363327808214047,23.8
AAPL,6.0,24.82,26.17,-5.85,0.3333333333333333,4.82526275571891,40.333333333333336
